long,lat,group,order,region,subregion
7.300781727,4.418164253,1050,66375,Nigeria,1
7.203906536,4.387646675,1050,66376,Nigeria,1
7.140429497,4.395117283,1050,66377,Nigeria,1
7.227343559,4.527343273,1050,66378,Nigeria,1
7.2713871,4.498926163,1050,66379,Nigeria,1
7.327929974,4.487207413,1050,66380,Nigeria,1
7.300781727,4.418164253,1050,66381,Nigeria,1
13.60634804,13.70458984,1051,66383,Nigeria,
13.76347637,13.48955059,1051,66384,Nigeria,
13.93232441,13.25849628,1051,66385,Nigeria,
14.06396484,13.07851505,1051,66386,Nigeria,
14.16005802,12.61279297,1051,66387,Nigeria,
14.17031288,12.52407265,1051,66388,Nigeria,
14.17763615,12.48408222,1051,66389,Nigeria,
14.18486309,12.44721699,1051,66390,Nigeria,
14.19746113,12.38378906,1051,66391,Nigeria,
14.27285194,12.35649395,1051,66392,Nigeria,
14.41543007,12.34414101,1051,66393,Nigeria,
14.51894474,12.29824257,1051,66394,Nigeria,
14.58095646,12.22207069,1051,66395,Nigeria,
14.58701134,12.20942402,1051,66396,Nigeria,
14.61972618,12.15097618,1051,66397,Nigeria,
14.62714863,12.10869122,1051,66398,Nigeria,
14.61816406,11.9866209,1051,66399,Nigeria,
14.59736252,11.82983398,1051,66400,Nigeria,
14.56181622,11.72871113,1051,66401,Nigeria,
14.5816412,11.59116268,1051,66402,Nigeria,
14.57539177,11.53242207,1051,66403,Nigeria,
14.55976582,11.49228477,1051,66404,Nigeria,
14.4960928,11.4461422,1051,66405,Nigeria,
14.40947247,11.40117168,1051,66406,Nigeria,
14.20234394,11.26816368,1051,66407,Nigeria,
14.14326191,11.24853516,1051,66408,Nigeria,
14.05673885,11.24501896,1051,66409,Nigeria,
13.98144531,11.21186447,1051,66410,Nigeria,
13.89208984,11.14008808,1051,66411,Nigeria,
13.69990253,10.87314415,1051,66412,Nigeria,
13.53535175,10.6050787,1051,66413,Nigeria,
13.47851563,10.38325214,1051,66414,Nigeria,
13.41455078,10.17143536,1051,66415,Nigeria,
13.26992226,10.03618145,1051,66416,Nigeria,
13.2498045,9.960058212,1051,66417,Nigeria,
